Key macro data,,,,,,,
"",2011,2012,2013,2014,2015F,2016F,2017F
"GDP (real, % y/y)",7.1,7.2,7.1,7.4,6.3,5.2,7.2
Nominal GDP (USD bn),13.1,15.3,16.0,16.9,14.6,12.5,13.1
"CPI (pavg, % y/y)",10.4,2.1,4.2,2.3,2.4,12.8,9.0
Fiscal balance (% GDP),-4.8,-3.9,-2.7,-10.7,-6.3,-4.9,-4.7
Revenue (% GDP),27.3,21.9,26.3,27.6,26.3,25.2,24.3
Grants (%GDP),7.5,5.1,5.2,4.3,4.2,3.7,2.8
Expenditure (% GDP),32.2,30.7,34.0,42.5,36.7,33.8,31.8
Government domestic debt (% GDP),6.3,5.5,8.6,8.6,10.4,8.6,6.6
Government external debt (% GDP),31.2,34.5,42.4,48.5,66.1,60.5,57.4
Current account balance (% GDP),-25.3,-44.5,-39.0,-38.2,-43.9,-45.4,-49.8
Trade balance (% GDP),-17.1,-26.5,-27.2,-27.5,-32.2,-33.5,-34.0
FDI (% GDP),27.1,36.9,38.5,36.4,31.8,33.8,...
USD/MZN (pavg),29.07,28.37,30.10,31.35,39.51,54.49,60.00
"Official reserves (USD bn, eop)",2.4,2.8,3.1,2.9,2.0,2.3,...
Months of imports,3.8,2.7,3.0,2.5,1.9,2.6,...
"Source: IMF, BoM, INE,  Barclays Research",,,,,,,
